Business,Business ID,County,Main Image,Address,Website,Number of Reviews,Star Rating Display,New Column B,Review Icon,Phone,Email,Complete?,Background Image,Icon Color,Address URL,Tags,tel:,Section Header (1),Average Rating,Rating Stars
Friar Tuck's (Helper),qJWMzGbaTNqBwGvml9L8tA,Carbon County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/61fe992fcdbaef0474483a7e_51cb1538-7024-4e13-bb72-52dbd9502506.png,"110 S Main Street Helper, UT 84526",https://www.friartucksbarbershop.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
The King's English Bookshop,e8Sxzda5QHCGrFJLGI35Hw,Salt Lake County,https://hosting.photobucket.com/images/i/lgbtqut/The_Kings_English_Bookshop.png,"1511 S 1500 E, Salt Lake City, UT 84105",https://www.kingsenglish.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-484-9100,books@kingsenglish.com,,,,,,,,,
Temple Shots,nJTe9NBpRPOLHyr2RL0-Sg,Salt Lake County,https://pbs.twimg.com/media/EEuQ3AyXYAIHaOw.jpg,"102 S 600 W, Salt Lake City, UT 8410",https://thesuntrapp.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,false,,,,,,,,
Club Try-Angles,7sRQ2k2TQbq2bYnzgKB5ig,Salt Lake County,https://clubtryangles.com/wp-content/uploads/2018/04/outside-e1524537481518.png," 251 W Harvey Milk Blvd, E 900 S, Salt Lake City, UT 84101",http://clubtryangles.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
Filling and Emulsions (Main Street),vxnP.UJVTgG.QJY5F7JNIw,Salt Lake County,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/cS9rwzzZlKLtalDiJAUK/pub/pHkM7GrmluG4FNEbCdxW.webp,"1475 S Main St, Salt Lake City, UT 84115",https://www.fillingsandemulsions.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",385-229-4228,,,,,,,,,,
Dolcetti Gelato,Cyo-nj2VQpaFOw6V31CP4Q,Salt Lake County,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/GLyS34gJTOtHtpGe05Cl/pub/9kHNexsQzYiEb5ZLuMr6.jpg,"902 E 900 S, Salt Lake City, UT 84105",https://dolcettigelato.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-485-3254,,,,,,,,,,
Laziz Kitchen (Granary District),ucrBY0ZVS1eEAKvVquNUHA,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6105ed596fa9d1fd0346e139_Laziz%20Kitchen.jpg,"912 S Jefferson Street, Salt Lake City, UT 84101",lazizkitchen.com,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='%23887549' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",801-441-1228,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/6rgOn9a7x7USaJy688XY.jpg,#887549,https://maps.app.goo.gl/n8xu58U8g9Ubdz7X6,,,,,
Laziz Kitchen (Midvale),WJcrWgqSSMu4RvvNgh7-gQ,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6105ed596fa9d1fd0346e139_Laziz%20Kitchen.jpg,"1076 Ft Union Blvd Midvale, UT 84047",lazizkitchen.com,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='%23887549' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",(801) 849 – 8887,,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/JRPqC0pJEKT1pytuy2jt.jpg,#887549,,,,,,
Laziz Kitchen Central 9th,XLx0YWrKSQCqBYAsiJv1JA,Salt Lake County,https://uploads-ssl.webflow.com/5f2ad784e8fae48bcf796a04/6105ed596fa9d1fd0346e139_Laziz%20Kitchen.jpg,"912 S Jefferson Street, Salt Lake City, UT 84101",lazizkitchen.com,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='%23887549' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",385-267-1161,,true,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/NSfaaNV0fRhAK9yZqEUi/pub/wnUR2mNRtqWdeIP4Xkh5.jpg,#887549,https://maps.app.goo.gl/n8xu58U8g9Ubdz7X6,"Food/Drink,MED,Salt Lake",tel:3852671161,From the Menu,,
The Med,3DNgc8UeQwuVtdczIpMXhA,Salt Lake County,https://cdn.usarestaurants.info/assets/uploads/551526fd0a4672196c434cf935a78970_-united-states-utah-salt-lake-county-salt-lake-city-the-med-801-493-0100htm.jpg,"420 E 3300 S, Salt Lake City, UT 84115",http://medslc.com/,0,  (0) ,No reviews,"data:image/svg+xml,%3csvg xmlns='http://www.w3.org/2000/svg' viewBox='-3.75%2c-3.75%2c31.5%2c31.5' fill='currentColor' aria-hidden='true' data-slot='icon' color='currentColor' height='128' width='128' style='background-color:transparent'%3e%3cpath d='M21.731 2.269a2.625 2.625 0 0 0-3.712 0l-1.157 1.157 3.712 3.712 1.157-1.157a2.625 2.625 0 0 0 0-3.712ZM19.513 8.199l-3.712-3.712-8.4 8.4a5.25 5.25 0 0 0-1.32 2.214l-.8 2.685a.75.75 0 0 0 .933.933l2.685-.8a5.25 5.25 0 0 0 2.214-1.32l8.4-8.4Z'%3e%3c/path%3e%3cpath d='M5.25 5.25a3 3 0 0 0-3 3v10.5a3 3 0 0 0 3 3h10.5a3 3 0 0 0 3-3V13.5a.75.75 0 0 0-1.5 0v5.25a1.5 1.5 0 0 1-1.5 1.5H5.25a1.5 1.5 0 0 1-1.5-1.5V8.25a1.5 1.5 0 0 1 1.5-1.5h5.25a.75.75 0 0 0 0-1.5H5.25Z'%3e%3c/path%3e%3c/svg%3e",,,,,,,,,,,
